service_id,service_name,busType,first_bpName,first_bp_time,last_bpName,last_bp_time,busNumber
79,Madurai-Chennai | 09:30PM,2+1(36)AC: Sleeper: Luxury,Mattuthavani - IntrCity Lounge,21:30,SRM College,23:59,TN63BP8555
91,Madurai-Bangalore | 10:00PM,2+1(36)AC: Sleeper: Luxury,Karur Bypass,01:00,Majestic - Boarding Zone,08:10,NL01B2711
92,Bangalore-Madurai | 10:15PM,2+1(36)AC: Sleeper: Luxury,Krishnagiri,00:50,Mattuthavani Bus Stand,07:25,NL01B2709
101,Chennai-Madurai | 10:55PM,2+1(36)AC: Sleeper: Luxury,Trichy Bypass,04:00,Mattuthavani - IntrCity Lounge,06:30,TN63BP8777
109,Madurai-Chennai | 10:00PM,2+1(30)AC: Sleeper: Luxury,Mattuthavani - IntrCity Lounge,22:00,Koyembedu,06:30,TN02BU1066Z
110,Chennai-Madurai | 11:00PM,2+1(30)AC: Sleeper: Luxury,Chengalpattu  - Boarding Zone,00:35,Mattuthavani - IntrCity Lounge,07:30,TN02BU1030Z
155,Hyderabad-Tirupati | 08:20PM,2+1(34)AC: Sleeper with Washroom: Luxury,Miyapur - Boarding Zone (Van Pickup),17:50,Tirupati,07:20,TS12UE0402
156,Tirupati-Hyderabad | 08:00PM,2+1(34)AC: Sleeper with Washroom: Luxury,BMR Harini Parking,20:00,Mehdipatnam,08:00,TS12UE0382
165,Vijayawada-Bangalore | 06:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Tirupati Bypass,02:00,Majestic - Boarding Zone,07:55,NL02B6336
166,Bangalore-Vijayawada | 10:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Palamaner Bypass,00:35,Benz Circle,10:00,NL02B6569
167,Hyderabad-Mumbai | 06:55PM,2+1(36)AC: Sleeper with Washroom: Luxury,Hadapsar,05:00,Borivali East,10:40,NL01B2749
168,Mumbai-Hyderabad | 07:50PM,2+1(36)AC: Sleeper with Washroom: Luxury,Solapur Bypass,00:55,Lakdikapool - IntrCity Lounge,08:20,NL01B2748
180,Chennai-Bangalore | 11:20PM,2+1(36)AC: Sleeper: Luxury,Vellore - Boarding Zone,02:20,Hebbal,07:55,NL01B1732
181,Bangalore-Chennai | 09:30PM,2+1(36)AC: Sleeper: Luxury,Hebbal,19:50,Velachery,06:15,NL01B1736
184,Hyderabad-Chennai | 11:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Gachibowli (Van Pickup),20:15,Koyambedu,11:25,TS12UD9636
185,Chennai-Hyderabad | 09:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Sullurpeta,00:15,Miyapur (Van Dropoff),11:00,TS12UD9638
199,Hyderabad-Guntur | 11:40PM,2+1(34)AC: Sleeper: Luxury,Chandanagar,22:00,Pattabhipuram - IntrCity Lounge,06:55,AP39TF1399Y
200,Guntur-Hyderabad | 10:25PM,2+1(34)AC: Sleeper: Luxury,Pattabhipuram - IntrCity Lounge,22:25,Chandanagar,06:50,AP39TF2999Y
201,Bangalore-Coimbatore | 10:30PM,2+1(34)AC: Sleeper with Washroom: Luxury,Krishnagiri,00:40,Gandhipuram,05:50,KA51AK1037
